stage,epoch,routing_gold_mix,generated_bridge_ratio,trainable_parameters,mixed_precision,optimizer,loss_bridge,loss_reasoning_tags,loss_sentiment,loss_text_evidence,loss_visual_evidence
stage1_aux,1,0.0,0.0,646768135,bfloat16,adafactor,,0.9223509284838125,,0.2797221217442808,4.596700046745077
stage1_aux,2,0.0,0.0,646768135,bfloat16,adafactor,,0.9217154721801097,,0.27225530511188256,4.576152883697331
stage1_aux,3,0.0,0.0,646768135,bfloat16,adafactor,,0.9212912544015232,,0.2687209896021955,4.585491031507124
stage2_reasoning_warmup,1,0.8,0.0,447688707,bfloat16,adafactor,13.83072499476314,0.9218368419799311,,,
stage2_reasoning_warmup,2,0.30000000000000004,0.0,447688707,bfloat16,adafactor,13.271685212613416,0.9214584520704234,,,
stage3_bridge,1,0.3,0.0,450052614,bfloat16,adafactor,12.9192784901323,0.9214717947954525,,0.26843170701113556,4.464716941582666
stage3_bridge,2,0.2,0.0,450052614,bfloat16,adafactor,12.45898342796599,0.9213800583064398,,0.2680917551508791,4.517747628218458
stage3_bridge,3,0.1,0.0,450052614,bfloat16,adafactor,12.116005555071945,0.9210035409630135,,0.26794292949713194,4.565227048565443
stage3_bridge,4,0.0,0.0,450052614,bfloat16,adafactor,11.98722610233317,0.921431435731583,,0.2675749988934959,4.593963277701595
stage4_classifier,1,0.0,0.0,24406531,bfloat16,adafactor,,,0.7967843381226043,,
stage4_classifier,2,0.0,0.0,24406531,bfloat16,adafactor,,,0.47424297227489637,,
stage4_classifier,3,0.0,0.0,24406531,bfloat16,adafactor,,,0.38269126959316757,,
stage5_joint,1,0.0,0.25,1085724682,bfloat16,adafactor,11.966393692423873,0.9217631870025982,0.6294677541560347,0.2676577280455859,4.588542393075218
stage5_joint,2,0.0,0.5,1085724682,bfloat16,adafactor,11.901689027917795,0.9216449489762676,0.7297510461789427,0.26761713542478943,4.587613062414314
stage5_joint,3,0.0,0.75,1085724682,bfloat16,adafactor,11.842166904745431,0.9211780590941482,0.8258191798409121,0.2680172020228535,4.590161584446142
stage5_joint,4,0.0,1.0,1085724682,bfloat16,adafactor,11.85011075852088,0.9214142075979425,0.9414367676176506,0.2677764655325552,4.595668706301827
